FT 3000 6000 9000 12000 18000 24000 30000 34000 39000
HAT 9900 3011+16 3207+14 0210+09 0316-07 0327-18 033634 033845 023853
HOU 9900 0309+22 0314+14 0727+10 0525-06 0720-17 090933 141243 162154
HSV 1506 0810+23 0524+18 0528+11 0523-07 0519-16 072432 062643 102053
ICT 2106 2105+27 2107+19 2106+12 0713-03 0609-16 091233 101743 082853
ILM 1907 9900+17 2906+12 0407+09 0423-05 0427-18 043734 044044 043053
IMB NA NA 1906+11 2207+04 1905-10 1911-21 207932 700241 710252
IND 9900 3608+22 3506+20 3313+12 3213-07 3317-15 032032 022343 361555
INK NA 1220+26 1220+17 1124+10 1328-05 1222-18 132635 111642 072151
INL 3207 3308+08 2923+08 2936+05 2848-08 2867-18 287932 299442 800954
JAN 1013 1111+21 0724+17 0632+10 0631-07 0615-16 093233 092742 101652
JAX 1315 1413+18 1511+13 1008+08 0519-06 0522-18 361532 302840 302951
JFK 2616 3012+18 3212+13 3013+08 3020-08 3323-17 332534 333744 332952
JOT 0413 0206+24 3010+18 3115+11 3225-06 3118-15 351431 362143 342755
LAS NA 1529+18 1547+12 1560+07 1565-04 1670-13 176728 175837 174049
LBB NA 1315+26 1315+17 1421+12 1418-05 1129-18 122935 112943 103252
LCH 9900 0410+21 0417+14 0730+08 0523-05 0619-17 990033 200642 181853
LIT 1106 0521+25 0521+18 0718+11 0817-07 0714-15 092633 093243 102254
LKV NA NA 0905+12 9900+04 9900-10 2007-21 198630 198940 209751
LND NA NA 1917+21 2025+13 2137-04 2238-15 224729 224139 244452
LOU 2206 3414+22 0120+19 0120+12 0114-06 3414-16 341632 351643 011254
LRD 1115 1115+21 1014+13 0818+08 1036-05 1125-18 112333 102644 112356
LSE 0314 9900+22 2413+16 2828+10 2929-06 2833-15 284331 294441 314555
LWS 9900 1508+17 2309+10 9900+03 2517-10 2035-19 229331 720740 720553
MBW NA NA 1906 2005+14 2333-04 2230-15 222729 222339 231352
MCW 0516 1511+21 2313+18 2925+12 2930-06 2828-15 272830 292642 323654
MEM 1508 0417+25 0517+19 0418+11 0818-07 0515-15 082032 072543 102254
MGM 1010 1307+17 0716+16 0623+10 0624-05 0520-17 083232 081541 990052
MIA 1020 1019+17 1125+12 1026+07 0918-06 0707-15 320830 301540 292353
MKC 0308 2809+28 3108+21 9900+13 0408-04 3505-16 011032 021242 051454
MKG 0213 3512+20 3122+16 3227+10 3128-06 2927-15 313831 324242 324456
MLB 1118 1119+18 1123+13 1121+07 0719-06 0311-17 292231 303440 293952
MLS NA 1621+13 2413+11 2237+08 2451-05 2460-15 257030 257040 267653
MOB 0909 0613+18 0818+12 0723+10 0723-05 0729-17 990031 252240 223651
MOT NA 1413+09 1610+06 2225+05 2452-07 2659-17 277631 279342 770154
MQT 3516 3119+13 3027+11 2943+06 2855-06 2957-17 296531 297542 810155
MRF NA NA 1119+17 1122+10 1233-05 1023-17 121535 071043 031851
MSP 0415 9900+19 2520+14 2830+08 2943-06 2845-16 294730 295141 305154
MSY 1016 0616+18 0721+14 0723+10 0720-05 0722-17 270931 231341 203352
OKC 1111 1110+25 1512+19 1615+11 0718-05 0819-16 092233 103344 102753
OMA 0708 9900+24 3007+21 2814+13 2915-04 2918-16 301031 051341 022954
ONL NA 1416+20 2123+20 2322+12 2625-04 2629-16 272330 271541 321953
ONT 0422 1045+16 1349+12 1346+07 1340-04 1334-13 153926 164435 174547
ORF 2412 2818+17 3406+15 3509+09 0213-07 0229-16 012834 013144 012955
OTH 3618 3507+17 2508+11 2008+04 9900-09 3609-21 361238 202045 194950
PDX 3309 9900+15 2009+09 2215+04 2521-09 2519-21 252139 213647 217251
PFN 0912 0813+17 0918+13 0818+09 0722-05 0728-18 341131 282739 243852
PHX 1831 1745+21 1641+15 1547+09 1555-05 1544-14 133527 173237 192950
PIE 1019 1221+16 1329+12 1024+07 0726-06 0413-16 291329 271739 273052
PIH NA 2505 2024+12 2141+07 2056-05 2156-15 216129 216838 217552
PIR NA 1523+16 2230+18 2338+11 2537-05 2642-15 274329 264140 284053
PLB 2622 3017+14 2923+11 2630+07 2932-08 3040-18 314636 335446 325752
PRC NA NA 1740+13 1641+08 1552-04 1649-14 153627 163438 182550
PSB NA 2920+18 3015+13 2816+08 3120-05 3228-17 343733 353844 333353
PSX 1605 0214+21 0524+14 0827+10 0727-06 1025-17 121833 131843 142355
PUB NA NA 1624+22 1724+13 2023-04 1729-15 142430 112839 073352
PWM 2619 3119+16 3023+12 3126+06 3129-09 3235-19 334736 325746 304750
RAP NA 1319+15 2040+18 2223+13 2436-04 2435-15 264230 254340 263653
RBL 3307 0409+18 0614+10 0618+03 0817-10 1820-20 189030 189340 187647
RDM NA 0109+19 9900+12 2007+04 2005-10 2306-21 215534 700240 209752
